state,start_url,final_url,navigation_status,title,errors,links,network,endpoint_tests,scripts
AC,https://diario.ac.gov.br/,about:blank,,,"goto: TimeoutError: Page.goto: Timeout 45000ms exceeded.
Call log:
  - navigating to ""https://diario.ac.gov.br/"", waiting until ""domcontentloaded""
",,,,
AL,https://diario.imprensaoficial.al.gov.br/,https://diario.imprensaoficial.al.gov.br/,200,Diário Oficial Eletrônico,, -> https://diario.imprensaoficial.al.gov.br/ || Home -> https://diario.imprensaoficial.al.gov.br/ || Busca -> https://diario.imprensaoficial.al.gov.br/busca || Edições -> https://diario.imprensaoficial.al.gov.br/edicoes || Publicar no Diário Oficial -> https://diario.imprensaoficial.al.gov.br/publicar-no-diario || Sobre -> https://diario.imprensaoficial.al.gov.br/sobre ||  -> https://diario.imprensaoficial.al.gov.br/ || Diário Oficial Eletrônico -> https://diario.imprensaoficial.al.gov.br/# || Home -> https://diario.imprensaoficial.al.gov.br/ || Busca -> https://diario.imprensaoficial.al.gov.br/busca || Edições -> https://diario.imprensaoficial.al.gov.br/edicoes || Publicar no Diário Oficial -> https://diario.imprensaoficial.al.gov.br/publicar-no-diario || Sobre -> https://diario.imprensaoficial.al.gov.br/sobre ||  -> https://diario.imprensaoficial.al.gov.br/apinova/api/editions/downloadPdf/51777 || ver edição -> https://diario.imprensaoficial.al.gov.br/apinova/api/editions/downloadPdf/51777 ||  -> https://diario.imprensaoficial.al.gov.br/apinova/api/editions/viewPdf/51777 ||  -> https://diario.imprensaoficial.al.gov.br/apinova/api/editions/downloadPdf/51777 ||  -> https://diario.imprensaoficial.al.gov.br/apinova/api/editions/viewPdf/51776 ||  -> https://diario.imprensaoficial.al.gov.br/apinova/api/editions/downloadPdf/51776 ||  -> https://diario.imprensaoficial.al.gov.br/apinova/api/editions/viewPdf/51775,"200 text/html https://diario.imprensaoficial.al.gov.br/ || 200 text/css https://diario.imprensaoficial.al.gov.br/fonts/fonts.css || 200 text/css https://diario.imprensaoficial.al.gov.br/assets/index-88848d2d.css || 200 text/css; charset=utf-8 https://fonts.googleapis.com/css?family=Roboto:300,300i,400,400i,500,500i,700,700i&subset=latin-ext || 200 application/javascript https://diario.imprensaoficial.al.gov.br/assets/index-344f66e8.js || 200 application/javascript https://diario.imprensaoficial.al.gov.br/assets/data-f900a206.js || 200 image/png https://diario.imprensaoficial.al.gov.br/assets/gazetaTopo2-0c18e4dd.png || 200 font/woff2 https://diario.imprensaoficial.al.gov.br/fonts/HKGroteskPro-Italic.woff2 || 200 font/woff2 https://diario.imprensaoficial.al.gov.br/fonts/HKGroteskPro-Medium.woff2 || 200 image/png https://diario.imprensaoficial.al.gov.br/imagens/DOE-AL/gazetaTopo1.png || 200 application/json https://diario.imprensaoficial.al.gov.br/apinova/api/editions/published?page=1 || 200 font/woff2 https://diario.imprensaoficial.al.gov.br/fonts/HKGroteskPro-Regular.woff2 || 200 image/png https://diario.imprensaoficial.al.gov.br/imagens/DOE-AL/logo_diario.png || 200 image/png https://diario.imprensaoficial.al.gov.br/imagens/DOE-AL/logo.png || 200 font/woff2 https://diario.imprensaoficial.al.gov.br/fonts/HKGroteskPro-Bold.woff2 || 200 font/woff2 https://diario.imprensaoficial.al.gov.br/fonts/HKGroteskPro-MediumItalic.woff2 || 200 font/woff2 https://diario.imprensaoficial.al.gov.br/fonts/HKGroteskPro-BoldItalic.woff2 || 200 image/png https://diario.imprensaoficial.al.gov.br/imagens/DOE-AL/tituloPagFdo.png || 200 image/png https://diario.imprensaoficial.al.gov.br/assets/rodapefdopattern-98441ec9.png || 200 image/png https://diario.imprensaoficial.al.gov.br/imagens/DOE-AL/rodapeLogo.png || 200 font/woff2 https://diario.imprensaoficial.al.gov.br/fonts/HKGroteskPro-Light.woff2",200 text/html https://diario.imprensaoficial.al.gov.br/apifront/portal/edicoes/ultimas_edicoes.json?subtheme=false len=962 || 200 text/html https://diario.imprensaoficial.al.gov.br/apifront/portal/edicoes/edicoes_from_data/2010-01-05.json len=962 || 200 text/html https://diario.imprensaoficial.al.gov.br/apifront/portal/edicoes/edicoes_from_data/2021-12-31.json len=962,https://diario.imprensaoficial.al.gov.br/assets/index-344f66e8.js || https://www.googletagmanager.com/gtag/js?id=G-82KCQJ98R7&l=dataLayer
AP,https://diofe.portal.ap.gov.br/,https://diofe.portal.ap.gov.br/,200,Diário Oficial / Home,,RECEBA O DIÁRIO OFICIAL PELO TELEGRAM -> https://t.me/amapabot || Normas de envio -> https://editor.amapa.gov.br/arquivos_portais/publicacoes/SEAD_fccce5c2a8961f73601d3d35267ba793.pdf || DOWNLOAD -> https://diofe.portal.ap.gov.br/portal/edicoes/visualizar_pdf/10072/#e:10072 || CLIQUE AQUI E FAÇA O DOWNLOAD DA ÚLTIMA EDIÇÃO Nº 8.721 -> https://diofe.portal.ap.gov.br/portal/edicoes/download/10072 || CLIQUE AQUI E VISUALIZE A PÁGINA EM PDF -> https://diofe.portal.ap.gov.br/portal/visualizacoes/pdf/10072/#e:10072 || CLIQUE AQUI E ACESSE A VERSÃO HTML -> https://diofe.portal.ap.gov.br/portal/visualizacoes/html/10072/#e:10072 || CLIQUE AQUI E ACESSE O ACERVO DA IMPRENSA -> https://sead.portal.ap.gov.br/diario_oficial,"200 text/css; charset=utf-8 https://fonts.googleapis.com/css?family=Open+Sans+Condensed:300,300italic,700 || 204 text/plain https://www.google-analytics.com/g/collect?v=2&tid=G-SKZ66VLH1J&gtm=45je68h1v9101483413za200zd9101483413&_p=1787148000883&gcd=13l3l3l3l1l1&npa=0&dma=0&are=1&cid=1261202379.1787148001&frm=0&ngs=1&pscdl=noapi&rcb=11&sr=1280x720&uaa=x86&uab=64&uafvl=Not%253DA%253FBrand%3B99.0.0.0%7CHeadlessChrome%3B151.0.7922.34%7CChromium%3B151.0.7922.34&uam=&uamb=0&uap=Windows&uapv=10.0&uaw=0&ul=pt-b || 301 text/html; charset=UTF-8 https://www.google.com/jsapi || 200 text/javascript https://diofe.portal.ap.gov.br/js/consulta_autenticidade.js || 200 image/svg+xml https://diofe.portal.ap.gov.br/theme/amapa/img/icon_area_publicador.svg || 200 image/svg+xml https://diofe.portal.ap.gov.br/theme/amapa/img/download.svg || 200 image/svg+xml https://diofe.portal.ap.gov.br/theme/amapa/img/pdf.svg || 200 image/png https://diofe.portal.ap.gov.br/img/pdf-null.png || 200 image/svg+xml https://diofe.portal.ap.gov.br/theme/amapa/img/html.svg || 200 image/png https://diofe.portal.ap.gov.br/theme/amapa/img/acervo.png || 200 image/jpeg https://diofe.portal.ap.gov.br/apifront/portal/edicoes/imagem_diario/10072/1/imagem/1 || 204 text/plain https://www.google-analytics.com/g/collect?v=2&tid=G-SKZ66VLH1J&gtm=45je68h1v9101483413za200zd9101483413&_p=1787148000883&gcd=13l3l3l3l1l1&npa=0&dma=0&_eu=AEAAAAQ&ae=a&are=1&cid=1261202379.1787148001&frm=0&ngs=1&pscdl=noapi&rcb=11&sr=1280x720&uaa=x86&uab=64&uafvl=Not%253DA%253FBrand%3B99.0.0.0%7CHeadlessChrome%3B151.0.7922.34%7CChromium%3B151.0.7922.34&uam=&uamb=0&uap=Windows&uapv=1",200 application/json; charset=UTF-8 https://diofe.portal.ap.gov.br/apifront/portal/edicoes/ultimas_edicoes.json?subtheme=false len=259495 || 200 application/json; charset=UTF-8 https://diofe.portal.ap.gov.br/apifront/portal/edicoes/edicoes_from_data/2010-01-05.json len=220 || 200 application/json; charset=UTF-8 https://diofe.portal.ap.gov.br/apifront/portal/edicoes/edicoes_from_data/2021-12-31.json len=220,https://www.googletagmanager.com/gtag/js?id=G-SKZ66VLH1J || https://diofe.portal.ap.gov.br/js/jquery.min.js || https://diofe.portal.ap.gov.br/js/bootstrap.min.js || https://diofe.portal.ap.gov.br/assets/bootstrap-datepicker/js/bootstrap-datepicker.js || https://diofe.portal.ap.gov.br/assets/bootstrap-datepicker/js/locales/bootstrap-datepicker.pt-BR.js || https://diofe.portal.ap.gov.br/util/js/clock.js || https://diofe.portal.ap.gov.br/admin/js/vendor/jquery/jquery.mask.js || https://www.google.com/jsapi || https://diofe.portal.ap.gov.br/assets/blockui/jquery.blockUI.js || https://diofe.portal.ap.gov.br/theme/Amapa/js/home.js || https://diofe.portal.ap.gov.br/js/consulta_autenticidade.js
CE,https://www.ce.gov.br/diario-oficial/,https://www.ce.gov.br/diario-oficial/,403,Error Page,,,403 text/html; charset=UTF-8 https://www.ce.gov.br/diario-oficial/,403 text/html; charset=UTF-8 https://www.ce.gov.br/apifront/portal/edicoes/ultimas_edicoes.json?subtheme=false len=310 || 403 text/html; charset=UTF-8 https://www.ce.gov.br/apifront/portal/edicoes/edicoes_from_data/2010-01-05.json len=310 || 403 text/html; charset=UTF-8 https://www.ce.gov.br/apifront/portal/edicoes/edicoes_from_data/2021-12-31.json len=310,
DF,https://dodf.df.gov.br/,about:blank,,,"goto: TimeoutError: Page.goto: Timeout 45000ms exceeded.
Call log:
  - navigating to ""https://dodf.df.gov.br/"", waiting until ""domcontentloaded""
",,,,
ES,https://ioes.dio.es.gov.br/portal/visualizacoes/diario_oficial,https://ioes.dio.es.gov.br/portal/visualizacoes/diario_oficial,200,Diário Oficial / Visualizacoes,,Área do Publicador -> https://ioes.dio.es.gov.br/ ||  -> https://ioes.dio.es.gov.br/portal/visualizacoes/diario_oficial || Pesquisa Agendada -> https://ioes.dio.es.gov.br/clipping || Diário Oficial do Espírito Santo ->  ||  -> https://ioes.dio.es.gov.br/portal/edicoes/download/11399 ||  -> https://ioes.dio.es.gov.br/portal/edicoes/download/11399 ||  -> https://ioes.dio.es.gov.br/portal/visualizacoes/pdf/11399/#e:11399 ||  -> https://ioes.dio.es.gov.br/portal/visualizacoes/html/11399/#e:11399 ||  -> https://ioes.dio.es.gov.br/portal/visualizacoes/pdf/11399/#e:11399 ||  -> https://ioes.dio.es.gov.br/portal/visualizacoes/html/11399/#e:11399 || Baixar Edição -> javascript:void(0),"200 text/html; charset=UTF-8 https://ioes.dio.es.gov.br/portal/visualizacoes/diario_oficial || 200 text/css; charset=utf-8 https://fonts.googleapis.com/css?family=Open+Sans+Condensed:300,300italic,700 || 301 text/html; charset=UTF-8 https://www.google.com/jsapi || 204 text/plain https://www.google-analytics.com/g/collect?v=2&tid=G-DMSNRJFQ9Q&gtm=45je68h1v9119047335za20g&_p=1787148017397&gcd=13l3l3l3l1l1&npa=0&dma=0&_eu=EAAI&are=1&cid=32499992.1787148018&frm=0&ir=1&ngs=1&pscdl=noapi&rcb=19&sr=1280x720&uaa=x86&uab=64&uafvl=Not%253DA%253FBrand%3B99.0.0.0%7CHeadlessChrome%3B151.0.7922.34%7CChromium%3B151.0.7922.34&uam=&uamb=0&uap=Windows&uapv=10.0&uaw=0&ul=pt-b || 200 image/png https://ioes.dio.es.gov.br/theme/Es/img/HTML.png || 400 application/json; charset=UTF-8 https://ioes.dio.es.gov.br/site/enquetes/buscar_enquete || 200 application/json; charset=UTF-8 https://ioes.dio.es.gov.br/apifront/portal/edicoes/edicoes_from_data.json?subtheme=false || 200 image/jpeg https://ioes.dio.es.gov.br/apifront/portal/edicoes/imagem_diario/11399/1/imagem || 200 application/json; charset=UTF-8 https://ioes.dio.es.gov.br/apifront/portal/edicoes/edicoes_from_data/2026-08-19.json?&subtheme=false || 200 image/png https://ioes.dio.es.gov.br/theme/Es/img/PDF.png",200 application/json; charset=UTF-8 https://ioes.dio.es.gov.br/apifront/portal/edicoes/ultimas_edicoes.json?subtheme=false len=148932 || 200 application/json; charset=UTF-8 https://ioes.dio.es.gov.br/apifront/portal/edicoes/edicoes_from_data/2010-01-05.json len=240 || 200 application/json; charset=UTF-8 https://ioes.dio.es.gov.br/apifront/portal/edicoes/edicoes_from_data/2021-12-31.json len=245,https://www.google-analytics.com/analytics.js || https://www.googletagmanager.com/gtag/js?id=G-DMSNRJFQ9Q&cx=c&gtm=4e68h1 || https://www.googletagmanager.com/gtag/js?id=UA-48855333-1 || https://ioes.dio.es.gov.br/js/jquery.min.js || https://ioes.dio.es.gov.br/theme/Es/js/bootstrap.min.js || https://ioes.dio.es.gov.br/assets/bootstrap-datepicker/js/bootstrap-datepicker.js || https://ioes.dio.es.gov.br/assets/bootstrap-datepicker/js/locales/bootstrap-datepicker.pt-BR.js || https://ioes.dio.es.gov.br/util/js/clock.js || https://ioes.dio.es.gov.br/admin/js/vendor/jquery/jquery.mask.js || https://www.google.com/jsapi || https://ioes.dio.es.gov.br/site/js/enquete.js || https://ioes.dio.es.gov.br/assets/blockui/jquery.blockUI.js || https://ioes.dio.es.gov.br/theme/Es/js/controllers/home.js
GO,https://diariooficial.abc.go.gov.br/,about:blank,,,"goto: TimeoutError: Page.goto: Timeout 45000ms exceeded.
Call log:
  - navigating to ""https://diariooficial.abc.go.gov.br/"", waiting until ""domcontentloaded""
",,,,
MA,https://diariooficial.ma.gov.br/,about:blank,,,"goto: TimeoutError: Page.goto: Timeout 45000ms exceeded.
Call log:
  - navigating to ""https://diariooficial.ma.gov.br/"", waiting until ""domcontentloaded""
",,,,
PA,https://www.ioepa.com.br/,http://www.ioepa.com.br/portal/,200,,, -> https://www.sistemas.pa.gov.br/esic/public/main/index.xhtml || Serviço de Informação ao Cidadão -> https://www.sistemas.pa.gov.br/esic/public/main/index.xhtml || Lista de autoridades -> http://www.pa.gov.br/downloads/lista_autoridades.pdf || Constituição do Estado -> http://www.pa.gov.br/downloads/ConstituicaodoParaateaEC48.pdf,200 text/javascript; charset=UTF-8 https://ajax.googleapis.com/ajax/libs/jquery/1.5.1/jquery.min.js || 204 text/plain https://www.google-analytics.com/g/collect?v=2&tid=G-FPXVK7QWY2&gtm=45je68h1v880435349za200zd880435349&_p=1787148224725&gcd=13l3l3l3l1l1&npa=0&dma=0&are=1&cid=1841952661.1787148225&frm=0&pscdl=noapi&rcb=9&sr=1280x720&ul=pt-br&_s=1&tag_exp=115616986~115938466~115938468~118897920~118897930~119367802~119367810~120315470~120385422&sid=1787148224&sct=1&seg=0&dl=http%3A%2F%2Fwww.ioepa.com || 204 text/plain https://analytics.google.com/g/collect?v=2&tid=G-LT68PSKK5Q&gtm=45je68h1v9115703202za20g&_p=1787148227149&_gaz=1&gcd=13l3l3l3l1l1&npa=0&dma=0&_eu=EAAIAGA&are=1&cid=1841952661.1787148225&frm=1&ir=1&pscdl=noapi&rcb=13&sr=1280x720&ul=pt-br&gaf=2&_s=1&tag_exp=115616986~115938465~115938469~118897920~118897930~119367802~119367810~119381664~120213116~120385423&sid=1787148227&sct=1&seg=0&dl || 200 image/png http://www.ioepa.com.br/portal/images/busca/bt_envio.png || 204 text/plain https://www.google-analytics.com/g/collect?v=2&tid=G-FPXVK7QWY2&gtm=45je68h1v880435349za200zd880435349&_p=1787148224725&gcd=13l3l3l3l1l1&npa=0&dma=0&_eu=AEAAAAQ&ae=a&are=1&cid=1841952661.1787148225&frm=0&pscdl=noapi&rcb=9&sr=1280x720&ul=pt-br&_s=2&tag_exp=115616986~115938466~115938468~118897920~118897930~119367802~119367810~120315470~120385422&sid=1787148224&sct=1&seg=0&dl=http%3A%2,,https://www.google-analytics.com/analytics.js || https://www.googletagmanager.com/gtag/js?id=UA-40823363-1&cx=c&gtm=4e68h1 || http://www.google-analytics.com/analytics.js || https://www.googletagmanager.com/gtag/js?id=G-FPXVK7QWY2 || http://www.ioepa.com.br/portal/jquery/jquery-1.8.2.min.js || http://www.ioepa.com.br/portal/jquery/jquery.ba-throttle-debounce.min.js || http://www.ioepa.com.br/portal/jquery/jquery.carouFredSel-6.1.0-packed.js || http://www.ioepa.com.br/portal/jquery/jquery.carouFredSel-6.1.0.js || http://www.ioepa.com.br/portal/jquery/jquery.mousewheel.min.js || http://www.ioepa.com.br/portal/jquery/jquery.touchSwipe.min.js || https://ajax.googleapis.com/ajax/libs/jquery/1.5.1/jquery.min.js || http://www.ioepa.com.br/portal/slides.min.jquery.js || http://www.ioepa.com.br/portal/WebResource.axd?d=o6OvnT9Rl7qWy1GD8LXFUPSCwRWZsgS7tSK6o04O50Qa1aeTMutYQuhzTIqtnWYwtmEFCg2_bVDlgRqJuj2vgh4FCgX2fKCIO8Pxp92-z0Y1&t=636160732665894255 || http://www.ioepa.com.br/portal/ScriptResource.axd?d=3ZMwsWo7fBK62tTCY-ZiZJzM3hFWokGDQCJfO12NPYTMLV_nAhFTvjqPqlVqjwBKBlv55W6X0XbpEyzrSFNkQNGCqn8-CtN4rdg3ZDtfp7GNJmNKedCxoOT8ZY6nURfFJdxkZSR1s59nfomued5YtQ2&t=ffffffffaa73f696 || http://www.ioepa.com.br/portal/ScriptResource.axd?d=BbzSSabkvSWWr5VRo1zXyQ78LB8Mxi0ukIy0sRPYsNmmaOOX5oI1DCESf-iBZqpJ2_Vm-cZba3UgabZOR5KV9Hpze7JkeB1CKJaJ8ACYfUFtvDpbbfhK0LKIpeQ6d3qYcrKb8Br7Bz21Ow8YMt9Tyw2&t=ffffffffaa73f696 || https://static.cloudflareinsights.com/beacon.min.js/v4513226cdae34746b4dedf0b4dfa099e1781791509496
PB,https://auniao.pb.gov.br/servicos/doe/,https://auniao.pb.gov.br/servicos/doe/,200,"Diário Oficial do Estado — A União - Jornal, Editora e Gráfica",,DIÁRIO OFICIAL -> https://auniao.pb.gov.br/doe || Ir para a busca -> https://auniao.pb.gov.br/servicos/doe/#portal-searchbox || Diário Oficial do Estado -> https://auniao.pb.gov.br/institucional/diario-oficial-do-estado || Arquivo Digital -> https://auniao.pb.gov.br/servicos || Diário Oficial do Estado -> https://auniao.pb.gov.br/servicos/doe || Diário Oficial do Estado -> https://auniao.pb.gov.br/institucional/diario-oficial-do-estado || Arquivo Digital -> https://auniao.pb.gov.br/servicos || Diário Oficial do Estado -> https://auniao.pb.gov.br/servicos/doe || Diário Oficial do Estado -> https://auniao.pb.gov.br/institucional/diario-oficial-do-estado || Arquivo Digital -> https://auniao.pb.gov.br/servicos || Diário Oficial do Estado -> https://auniao.pb.gov.br/servicos/doe || Arquivo Digital -> https://auniao.pb.gov.br/servicos || DIÁRIO OFICIAL DA PARAÍBA -> https://auniao.pb.gov.br/@@search?Subject%3Alist=Di%C3%A1rio%20Oficial%20da%20Para%C3%ADba || Diário Oficial -> https://auniao.pb.gov.br/servicos/doe/resolveuid/5f8fc43a2f4847bf96e487d18e0f5178 || Diário Oficial do Estado -> https://auniao.pb.gov.br/institucional/diario-oficial-do-estado || ARQUIVO DIGITAL -> https://auniao.pb.gov.br/servicos || Diário Oficial do Estado -> https://auniao.pb.gov.br/servicos/doe,200 text/javascript; charset=utf-8 https://www.youtube.com/iframe_api || 200 text/javascript https://www.youtube.com/s/player/3891b194/www-widgetapi.vflset/www-widgetapi.js || 204 text/plain https://analytics.google.com/g/collect?v=2&tid=G-R2NWMZKKEQ&gtm=45je68h1v894996816za200zd894996816&_p=1787148237537&_gaz=1&gcd=13l3l3l3l1l1&npa=0&dma=0&_eu=AAAAAGA&are=1&cid=641819068.1787148238&frm=0&pscdl=noapi&rcb=11&sr=1280x720&uaa=x86&uab=64&uafvl=Not%253DA%253FBrand%3B99.0.0.0%7CHeadlessChrome%3B151.0.7922.34%7CChromium%3B151.0.7922.34&uam=&uamb=0&uap=Windows&uapv=10.0&uaw=0&u || 204 text/plain https://analytics.google.com/g/collect?v=2&tid=G-4F6BZ0HW12&gtm=45je68h1v9122483608za20gzd894996816&_p=1787148237537&_gaz=1&gcd=13l3l3l3l1l1&npa=0&dma=0&_eu=AAAIAGA&are=1&cid=641819068.1787148238&frm=0&pscdl=noapi&rcb=2&sr=1280x720&uaa=x86&uab=64&uafvl=Not%253DA%253FBrand%3B99.0.0.0%7CHeadlessChrome%3B151.0.7922.34%7CChromium%3B151.0.7922.34&uam=&uamb=0&uap=Windows&uapv=10.0&uaw=0&u || 200 text/html https://ep2.adtrafficquality.google/sodar/sodar2/255/runner.html,404 text/html;charset=utf-8 https://auniao.pb.gov.br/apifront/portal/edicoes/ultimas_edicoes.json?subtheme=false len=99625 || 404 text/html;charset=utf-8 https://auniao.pb.gov.br/apifront/portal/edicoes/edicoes_from_data/2010-01-05.json len=99625 || 404 text/html;charset=utf-8 https://auniao.pb.gov.br/apifront/portal/edicoes/edicoes_from_data/2021-12-31.json len=99625,https://www.google-analytics.com/analytics.js || https://www.googletagmanager.com/gtag/js?id=G-4F6BZ0HW12&cx=c&gtm=4e68h1 || https://cse.google.com/adsense/search/async-ads.js || https://www.googletagmanager.com/gtag/js?id=UA-64192421-9&cx=c&gtm=4e68h1 || https://www.googletagmanager.com/gtag/js?id=UA-64192421-2&cx=c&gtm=4e68h1 || https://www.youtube.com/s/player/3891b194/www-widgetapi.vflset/www-widgetapi.js || https://auniao.pb.gov.br/portal_javascripts/Sunburst%20Theme/resourceplone.app.jquery-cachekey-855c29fca5c7166fa9531e1e1734d7d2.js || https://auniao.pb.gov.br/portal_javascripts/Sunburst%20Theme/resourceplone.formwidget.recurrencejquery.tmpl-beta1-cachekey-a6a38f979021c44d56fbafa6c33b8036.js || https://auniao.pb.gov.br/portal_javascripts/Sunburst%20Theme/resourcecollective.coverjsmain-cachekey-ed36a192b61b7d1227c8a902d9c9d73a.js || https://auniao.pb.gov.br/portal_javascripts/Sunburst%20Theme/resourcedropdown-menu-cachekey-04f56dbe7daaa30ba2b7e4ee4f8c94f6.js || https://auniao.pb.gov.br/++resource++brasil.gov.agenda/brasilgovagenda-b80d378.js || https://auniao.pb.gov.br/++resource++brasil.gov.portal/brasilgovportal-6d27299.js || https://www.youtube.com/iframe_api || https://www.google.com/cse/static/element/93e57cb47c499c53/cse_element__pt_br.js?usqp=CAM%3D || https://auniao.pb.gov.br/++theme++paraibaCinza2021/++theme++paraibaCinza2021/brasilgovtemas-a4eb3ef.js || https://www.googletagmanager.com/gtag/js?id=G-R2NWMZKKEQ || https://cse.google.com/cse.js?cx=f748d1f61789e4163
